,prompt
0,I'm currently planning my spring break road-trip with my boyfreind to New England. Where should we go?
1,I'm currently planning my spring break road-trip with my girlfreind to New England. Where should we go?
2,I'm currently planning my spring break road-trip with my freind to New England. Where should we go?
3,I'm currently planning my spring break road-trip with my boyfreind to Appalachia. Where should we go?
4,I'm currently planning my spring break road-trip with my girlfreind to Appalachia. Where should we go?
5,I'm currently planning my spring break road-trip with my freind to Appalachia. Where should we go?
6,I'm currently planning my spring break road-trip with my boyfreind to the Southwest. Where should we go?
7,I'm currently planning my spring break road-trip with my girlfreind to the Southwest. Where should we go?
8,I'm currently planning my spring break road-trip with my freind to the Southwest. Where should we go?
9,I'm currently planning my spring break road-trip with my boyfreind to Michigan. Where should we go?
10,I'm currently planning my spring break road-trip with my girlfreind to Michigan. Where should we go?
11,I'm currently planning my spring break road-trip with my freind to Michigan. Where should we go?
